type,salary,title,street,city,country_code,address_text,marker_icon,workplace_type,company_name,company_url,company_size,experience_level,latitude,longitude,published_at,remote_interview,id,company_logo_url,remote,skill0,level0,skill1,level1,skill2,level2
b2b,19000,Backend AWS Developer,Fabryczna 6,Wrocław,PL,"Fabryczna 6, Wrocław",python,remote,Grape Up,https://grapeup.com/,100+,mid,51.1050088,17.0343214,2022-01-06T11:00:26.862Z,true,grape-up-backend-aws-developer-wroclaw,https://bucket.justjoin.it/offers/company_logos/thumb/16816ca118c629153c3ffce64fab6b30d25b27fc.png?1638443380,true,AWS,3,Java,3,Python,3
b2b,17500,Data Architect,Złota 44,Warszawa,PL,"Złota 44, Warszawa",architecture,remote,ITDS,http://www.itds.pl,200+,mid,52.2311533,21.0024229,2022-01-06T11:00:26.862Z,true,itds-data-architect,https://bucket.justjoin.it/offers/company_logos/thumb/8b9e7c1ca8d1b31ee4d8fd91731c3b2f718d882a.png?1639736539,true,PostgreSQL,3,SQL,4,Oracle,4
b2b,22750,Quality Assurance Developer,Masnedøgade 22,København,DK,"Masnedøgade 22, København",testing,remote,Contractbook,http://contractbook.com,120,mid,55.711061,12.5727878,2022-01-06T11:00:26.862Z,true,contractbook-quality-assurance-developer-poznan,https://bucket.justjoin.it/offers/company_logos/thumb/8f556ce16d600f2085a06ff088f61a1d10c3e67c.png?1620737385,true,JavaScript,4,Test Automation,5,Manual Testing,5
b2b,15500,Programista Python,Centrum,Warszawa,PL,"Centrum, Warszawa",python,remote,Software Interactive Sp. z o.o.,http://softint.eu/,50+,mid,52.2293754,21.0131961,2022-01-06T11:00:26.862Z,true,software-interactive-sp-z-o-o-programista-python-warszawa,https://bucket.justjoin.it/offers/company_logos/thumb/850d1a9d8af2c3ae8f8d0ab1d185b9500af007e9.jpg?1619011091,true,Flask,1,English,3,Python,3
b2b,18000,Senior Automation Tester,Piotrkowska 270,Łódź,PL,"Piotrkowska 270, Łódź",testing,partly_remote,Rainbow Tours S.A.,http://R.pl,500-800,senior,51.7483946,19.4615014,2022-01-06T11:00:26.862Z,false,rainbow-tours-s-a-senior-automation-tester,https://bucket.justjoin.it/offers/company_logos/thumb/f62d943ea038cdd965ae3c4fd27e137d886c7dab.jpg?1639736310,false,Git,4,CI/CD,4,Selenium,4
b2b,16500,Backend Developer,Centrum,Lublin,PL,"Centrum, Lublin",javascript,remote,OPGK Software,https://www.opgksoftware.com/pl/,70,mid,51.24263,22.5562697,2022-01-06T11:00:26.862Z,true,opgk-software-backend-developer-112d1224-e852-4a40-97d4-156601ac6a08,https://bucket.justjoin.it/offers/company_logos/thumb/23584a0242d9a8e64b231a28e3ffbd14f8c3c29e.png?1640169314,true,JavaScript,3,MySQL,4,Node.js,4
b2b,13000,Frontend Developer with React,Łobzowska 20/7,Kraków,PL,"Łobzowska 20/7, Kraków",javascript,remote,KISS digital,https://kissdigital.com/,40+,mid,50.067848,19.933389,2022-01-06T11:00:26.862Z,true,kiss-digital-frontend-developer-with-react,https://bucket.justjoin.it/offers/company_logos/thumb/3e67fe472195438f303a7ca10162dea2e92dbe52.png?1640603171,true,Redux,3,React Query,3,React,3
b2b,21000,Senior .NET Developer,Centrum,Warszawa,PL,"Centrum, Warszawa",net,remote,Idego,http://idego.io,80+,senior,52.2293803,21.012947,2022-01-06T11:00:26.862Z,true,idego-senior-net-developer-warszawa,https://bucket.justjoin.it/offers/company_logos/thumb/f0f7c40d0559414426c558d0ed89c78655f93d8c.png?1638354598,true,API,4,.NET Core,4,.Net 5,4
permanent,18000,Senior Java Developer (Green Field),Piłsudskiego  69,Wrocław,PL,"Piłsudskiego  69, Wrocław",java,partly_remote,Infor,https://www.infor.com/pl-pl,300+,senior,51.1007739,17.0311093,2022-01-06T11:00:26.862Z,true,infor-senior-java-developer-green-field,https://bucket.justjoin.it/offers/company_logos/thumb/83c9c2f0a3eaec7965a6b1154ca54e538ac851cf.png?1637836500,false,JIRA,4,AWS,4,Java,5
b2b,12000,Frontend/Fullstack Developer,Królowej Jadwigi 43,Poznań,PL,"Królowej Jadwigi 43, Poznań",javascript,remote,CONTMAN,https://www.contman.pl,25+,mid,52.3989755,16.9314273,2022-01-06T11:00:26.862Z,true,contman-frontend-fullstack-developer,https://bucket.justjoin.it/offers/company_logos/thumb/c8058063e0feb48d282052f3ffa134529c29539b.png?1640168852,true,CSS,3,JavaScript,3,Vue.js,3
b2b,15500,Programista Python,Centrum,Kraków,PL,"Centrum, Kraków",python,remote,Software Interactive Sp. z o.o.,http://softint.eu/,50+,mid,50.0550498,19.9259309,2022-01-06T11:00:26.862Z,true,software-interactive-sp-z-o-o-programista-python-krakow,https://bucket.justjoin.it/offers/company_logos/thumb/9c653f68691e65fe4afbad21b3f03366e4496cb9.jpg?1619011072,true,Flask,1,English,3,Python,3
b2b,25200,Lead Java Developer,ul. Żwirki i Wigury 16a,Warszawa,PL,"ul. Żwirki i Wigury 16a, Warszawa",java,remote,Pretius,http://www.pretius.com,150+,senior,52.1888708,20.981759,2022-01-06T11:00:26.862Z,true,pretius-lead-java-developer,https://bucket.justjoin.it/offers/company_logos/thumb/18461b1e1169ee8d103dcc0be47bf08b64a1aabb.png?1640082304,true,Oracle DB,4,Spring,4,Java,5
b2b,16000,.NET Developer,Centrum,Warszawa,PL,"Centrum, Warszawa",net,remote,Idego,http://idego.io,80+,mid,52.2302091,21.0113922,2022-01-06T11:00:26.862Z,true,idego-net-developer-warszawa,https://bucket.justjoin.it/offers/company_logos/thumb/999043739d57b356ddedb4131a34f2db9e0463dd.png?1638354089,true,ASP.NET,3,.NET Core,3,.Net Framework,4
b2b,13300,Business Analyst - Customer Engagement,Przeskok 2,Warszawa,PL,"Przeskok 2, Warszawa",analytics,remote,BOLD PL,https://www.bold.com/,100+,mid,52.2332603,21.0140922,2022-01-06T11:00:26.862Z,true,bold-pl-business-analyst-customer-engagement,https://bucket.justjoin.it/offers/company_logos/thumb/ef456f5e95f2e1c85c649c20c3eaae9e90ee0b63.PNG?1637838707,true,Databases,3,SQL,3,,
b2b,16275,Full Stack .Net Developer,Baletowa 1,Warszawa,PL,"Baletowa 1, Warszawa",net,remote,Novaris Sp. z o.o.,http://www.novaris.pl/,100,mid,52.1219479,21.013728,2022-01-06T11:00:26.862Z,true,novaris-sp-z-o-o-full-stack-net-developer,https://bucket.justjoin.it/offers/company_logos/thumb/043568bb45653320e6b89709ba64ef2f2ca72407.JPG?1626781533,true,.NET Core,3,.NET MVC,3,C#,3
b2b,11500,Scala Developer,Centrum,Kraków,PL,"Centrum, Kraków",scala,remote,Playbook Engineering,https://playbookengineering.com/,100,junior,50.0550498,19.9259309,2022-01-06T11:00:26.862Z,true,playbook-engineering-scala-developer-krakow,https://bucket.justjoin.it/offers/company_logos/thumb/ce1aaf8928790dead083117cc22e82b251c62fb5.png?1638453472,true,Google Cloud,2,Scala,2,,
permanent,7750,Analityk biznesowy,-,Bielsko-Biała,PL,"-, Bielsko-Biała",analytics,partly_remote,KOTRAK S.A.,https://kotrak.com/,>200,mid,49.8223768,19.0583845,2022-01-06T11:00:26.862Z,true,kotrak-s-a-analityk-biznesowy-bielsko-biala,https://bucket.justjoin.it/offers/company_logos/thumb/f912a5ba9468063a128f0542422195053cb30db5.png?1636549451,false,BPMN,1,CRM,3,,
b2b,18500,Mid/Senior Mobile QA Engineer,Centrum,Warszawa,PL,"Centrum, Warszawa",python,remote,Link Group,http://linkgroup.pl/,200-250,mid,52.2302091,21.0113922,2022-01-06T11:00:26.862Z,true,link-group-mid-senior-mobile-qa-engineer,https://bucket.justjoin.it/offers/company_logos/thumb/98255c52e05cda9224eb3baf8643b691ec7a4089.png?1640081167,true,Python,3,Appium,3,Robot Framework,3
permanent,14500,Mid/Senior React UI Developer,Marynarki Polskiej 163,Gdańsk,PL,"Marynarki Polskiej 163, Gdańsk",javascript,remote,IHS Markit,http://ihsgdansk.com/,>10000,senior,54.3721421,18.6343554,2022-01-06T11:00:26.862Z,true,ihs-markit-carfax-mid-senior-react-ui-developer,https://bucket.justjoin.it/offers/company_logos/thumb/728a8f0e3604f205dc87c51b6640211cbe882fce.jpg?1638441609,true,JavaScript,3,TypeScript,3,React,3
b2b,20000,Backend Engineer (Mid/Senior),pl. Trzech Krzyży 10/14,Warszawa,PL,"pl. Trzech Krzyży 10/14, Warszawa",javascript,remote,Lite e-Commerce,http://www.lite.tech,50-100,mid,52.2294112,21.0229267,2022-01-06T11:00:26.862Z,true,lite-e-commerce-backend-engineer-mid-senior,https://bucket.justjoin.it/offers/company_logos/thumb/0149b880a904b1b213ab80459a83934ce0b2de99.png?1640169764,true,GraphQL,2,TypeScript,3,Node.js,3
b2b,22500,Senior React Engineer,Zabłocie 43B,Kraków,PL,"Zabłocie 43B, Kraków",javascript,partly_remote,Software Mansion,http://swmansion.com,130+,senior,50.0486576,19.9654239,2022-01-06T11:00:26.862Z,true,software-mansion-senior-react-engineer,https://bucket.justjoin.it/offers/company_logos/thumb/e549b3eb0e923a3ba274bb862ac9cd3d28028308.png?1622538557,false,TypeScript,3,JavaScript,4,React,4
b2b,23000,Senior Fullstack Developer,Centrum,Warszawa,PL,"Centrum, Warszawa",net,remote,Link Group,http://linkgroup.pl/,200-250,senior,52.2302091,21.0113922,2022-01-06T11:00:26.862Z,true,link-group-senior-fullstack-developer,https://bucket.justjoin.it/offers/company_logos/thumb/f8a8941f61288b1d30453dc42bb44dc30460ff53.png?1640860198,true,TypeScript,4,.NET Core,5,.Net,5
permanent,11500,Machine Learning Developer,Czesława Miłosza 9/9,Gdańsk,PL,"Czesława Miłosza 9/9, Gdańsk",python,remote,Scalac,http://www.scalac.io,120,mid,54.3480183,18.5906038,2022-01-06T11:00:26.862Z,true,scalac-machine-learning-developer,https://bucket.justjoin.it/offers/company_logos/thumb/b5f7060b05e9bab4742f1d26244863bc577ccc4c.png?1633517394,true,Fasttext,3,TensorFlow,3,NLP,3
